Product_ID,User_ID,Time_ID,HelpfulnessNumerator,HelpfulnessDenominator,CleanedText,Score
65149,233944,1973,9,14,look small print bottom back packag product china sourc product kill pet i sat besid vet read along br follow primari repeat find br br sever damag kidney often result complet renal failur br death br numer report past four five week larger number br east coast br chicken beef treat promot natur br matter label product china br caught earli enough hospit iv hydrat flush br kidney day nutrient may help kidney heal br pet could live damag kidney br caught earli complet renal failur expect br case report relat small dog br initi symptom indic diabet br mold often found flush kidney,1
26218,38234,633,10,10,updat april 2012 i return 6 pouch purebit chicken today first call compani instruct the rep femal respond complaint dec 2011 took call today know i call kept insist never complaint rancid bit i told i call dec said someon els like help not want argu i move clear lie i thought i updat i ask includ note time say purchas noth fact compani think accept fat get thru via process fat cannot freez dri turn rancid even freez dri read origin review see answer 1st time i call last year veri disappoint compani care hold process plant feet fire fat get lie custom good but honor satisfact guarante so way get issu resolv us get refund all need send proof purchas invoic address bag along name address i find half bag rancid dog care cat eat rancid anyth expens issu ignor pls help make compani fix issu send proof forc refund compani ignor issu wallet get hit i hate cat beg i go broke replac rancid bag br br origin review i bought two 6 2 oz bag purebit chicken dog first tri small cat size pouch found petsmart move dog size bag chunk i crumbl finger get smaller cat love product but bag purchas amazon rancid chunk smush slimi greasi mush i crumbl br br the compani admit happen said part process noth done accept refund i send proof purchas invoic br br so hit miss compani agre fyi warn other check bag br br for feed dog break chunk like i pleas take note check chunk feed you also detect faint rancid odor rancid bit bag br br the reason rancid chunk accord compani piec fatti chicken get fat freez dri without preserv go rancid i knew hope could offer promis correct intent so i keep buy hope i get good bag certain take time get refund whenev occur br br the product excel get good bag check piec feed good nose rancid odor take whiff smell slight rancid odor return product,1
18722,96355,315,0,1,was wonder gum tast differ textur slimi read ingredi artifici sweeten done i person stand artifici sweeten they total ruin good chew gum,1
61569,225352,828,2,5,well reason i go i need give morn caffein habit this major problem sinc i coffe lover i drink coffe kick i also drink flavor i ador when i say ador let explain say i work coffe industri tast best coffe planet my favorit time sun dri tanzanian peaberri so suffic say i bit coffe nut i mean i black sugar coffe guy i drink coffe sinc high school so give coffe complet horrifi thought br after thought suicid subsid i decid look coffe altern see avail i thought if i coffe mayb i someth tast like coffe right wrong i review sever product coffe substitut pay close attent review comment regard product flavor i realiz product would tast exact like coffe i look product most coffe like teeccino rate highest categori i believ i onto someth grand a coffe substitut actual tast like coffe i mean point coffe substitut actual tast like coffe boy i let br upon receiv product i immedi read instruct brew teeccino i put water boil wait great anticip almost like kid christma morn in past i use french press coffe applic i thought manual drip would better fit when i began pour water concoct i began smell someth tangi almost sour it smell anyth like coffe onc cup brew i brought nose teeccino smell burnt like burn sugar raisin the tast well teeccino negat qualiti bad coffe without actual coffe flavor it acid bitter tast describ tast like bug spray smell honest the linger flavor mouth realli remind smell bug spray it foul gave sour stomach made nauseous hour tri if i could give product rate zero star i would take believ review written teeccino tast smell noth like coffe this got worst hot beverag i ever tast i even bother return teeccino i disgust i threw order prevent damag amazon custom,1
6393,41023,170,0,0,i bought product fiber prune juic aid son constip compar regular prune juic 1 5 g fiber 4 oz juic 0 g fiber volum the ingredi list appl prune juic list much clear appl prune if kid like drink appl prune juic product fine look someth help constip look elsewher what wast,1
14862,28382,232,2,5,this review product seller great br br i heard good sleep find local bought it stunk hous tast aw save money buy tea,1
28364,8868,200,0,0,they sent 14 pack origin pringl not reduc fat if i want buy full fat chip i would order full fat fals advertis i stuck chip i want br br basic look reduc fat look elsewher,1
29091,134325,1560,8,35,upon receiv ktc mustard oil notic label said extern use as product list gourmet food item assum mustard flavor food oil not mustard seed oil there big differ one could danger note the amazon ad relat warn ingredi list i could find would help avoid purchas wrong item,1
65681,235094,44,6,20,we open cover ad water wait week noth grew cat ran away let enjoy import catnip,1
2027,12914,575,0,0,i read sever review state often product arriv damag i decid chanc order anyway hope one lucki peopl wrote good review the box arriv i could see smell leak creamer porch i one lucki sever contain ruptur leak insid box if like wash close two hundr tini contain liquid go ahead order product you enjoy,1
